Rađe	r a ɗ ɛː
ahrei	ʔ a h r ɛː j
akar	ʔ a k aː r
akăn	ʔ a k a n
ao	ʔ aː w
apo	ʔ a p ɔː
areh	ʔ a r ɛ h
arăng	ʔ a r a ŋ
ataih	ʔ a t a j h
bek	b ɛː k
bip	b iː p
blok	b l ɔː k
blu	b l uː
bri	b r iː
băt	b a t
bơbe	b ə b ɛː
bơbư̆ng	b ə b ɨ ŋ
bơlŏu	b ə l ɔ w
bơngai	b ə ŋ aː j
bơnhuăl	b ə ɲ w a l
bơxey	b ə s ɛː j
chih	c i h
chuơh	c w ə h
chŭm	c u m
chơgơu	c ə ɡ ə w
dŏng	d ɔ ŋ
dơnŏu	d ə n ɔ w
dơnŭh	d ə n u h
dơsoh	d ə s ɔ h
dơ̆ng	d ə ŋ
gao	ɡ aː w
giơng	ɡ j əː ŋ
glơi	ɡ l əː j
gơ̆p	ɡ ə p
ha	h aː
hang	h aː ŋ
hla	h l aː
hlôm	h l oː m
hnam	h n aː m
hngăm	h ŋ a m
hum	h uː m
hăk	h a k
hơda	h ə d aː
hơdang	h ə d aː ŋ
hơke	h ə k ɛː
hơkĕnh	h ə k ɛ ɲ
hơmơ̆l	h ə m ə l
hơngiĕng	h ə ŋ j ɛ ŋ
hơnăm	h ə n a m
hơri	h ə r iː
hơđang	h ə ɗ aː ŋ
hơʼbơ̆l	h ə ɓ ə l
ih	ʔ i h
inh	ʔ i ɲ
iĕr	ʔ j ɛ r
iŭ	ʔ j u ʔ
jrang	ɟ r aː ŋ
jri	ɟ r iː
jrŭ	ɟ r u ʔ
jrŭm	ɟ r u m
jê̆	ɟ e ʔ
jăr	ɟ a r
jĭ	ɟ i ʔ
jĭt	ɟ i t
jơk	ɟ əː k
jơla	ɟ ə l aː
jơ̆ng	ɟ ə ŋ
ka	k aː
kang	k aː ŋ
khei	kʰ ɛː j
kial	k j aː l
kiĕng	k j ɛ ŋ
kla	k l aː
klak	k l aː k
klo	k l ɔː
klơm	k l əː m
kon	k ɔː n
krong	k r ɔː ŋ
kră	k r a ʔ
kuăl	k w a l
kăp	k a p
kŏ	k ɔ ʔ
kơdâu	k ə d ə w
kơdŭ	k ə d u ʔ
kơep	k ə ʔ ɛː p
kơjung	k ə ɟ uː ŋ
kơmăi	k ə m a j ʔ
kơmŏ	k ə m ɔ ʔ
kơne	k ə n ɛː
kơpen	k ə p ɛː n
kơpô	k ə p oː
kơsoh	k ə s ɔ h
kơsĕ	k ə s ɛ ʔ
kơtam	k ə t aː m
kơting	k ə t iː ŋ
kơtơ̆ng	k ə t ə ŋ
kơđeh	k ə ɗ ɛ h
kơʼngap	k ə ʔ ŋ aː p
kơ’nơ̆m	k ə ʔ n ə m
kưt	k ɨː t
lôch	l oː c
lăm	l a m
lơ̆p	l ə p
mam	m aː m
meo	m ɛː w
moih	m ɔ j h
muh	m u h
mônh	m oː ɲ
măng	m a ŋ
măt	m a t
mĕ	m ɛ ʔ
mŭn	m u n
nhă	ɲ a ʔ
nhŭng	ɲ u ŋ
năm	n a m
năr	n a r
nơ̆r	n ə r
oh	ʔ ɔ h
oĕi	ʔ w ɛ j
pham	p h aː m
phĭ	p h i ʔ
plei	p l ɛː j
plĕnh	p l ɛ ɲ
plŭn	p l u n
prit	p r iː t
pông	p oː ŋ
păr	p a r
pơdơ̆ng	p ə d ə ŋ
pơgar	p ə ɡ aː r
pơgê	p ə ɡ eː
pơkao	p ə k aː w
pơlei	p ə l ɛː j
pơlôch	p ə l oː c
pơngot	p ə ŋ ɔː t
pơnăr	p ə n a r
pơtăm	p ə t a m
pơđôh	p ə ɗ o h
roi	r ɔː j
rông	r oː ŋ
răt	r a t
rơh	r ə h
rơmo	r ə m ɔː
rơpiĕt	r ə p j ɛ t
rơ̆ih	r ə j h
sa	s aː
sem	s ɛː m
si	s iː
sŏk	s ɔ k
sơgơ̆r	s ə ɡ ə r
sơmĕch	s ə m ɛ c
sơnglŏng	s ə ŋ l ɔ ŋ
tanh	t aː ɲ
teh	t ɛ h
ti	t iː
to	t ɔː
trôk	t r oː k
tuh	t u h
tăng	t a ŋ
tŏ	t ɔ ʔ
tơchĕng	t ə c ɛ ŋ
tơdrong	t ə d r ɔː ŋ
tơmo	t ə m ɔː
tơpai	t ə p aː j
tơʼbăng	t ə ɓ a ŋ
ăn	ʔ a n
đak	ɗ aː k
đe	ɗ ɛː
đon	ɗ ɔː n
đum	ɗ uː m
đông	ɗ oː ŋ
ŭnh	ʔ u ɲ
ưh	ʔ ɨ h
ʼba	ɓ aː
ʼbar	ɓ aː r
ʼbih	ɓ i h
ʼboh	ɓ ɔ h
ʼbrê	ɓ r eː
ʼbrơ̆m	ɓ r ə m
ʼbum	ɓ uː m
ʼbôh	ɓ o h
ʼbĕnh	ɓ ɛ ɲ
ʼbŭ	ɓ u
ʼbơ̆r	ɓ ə r
ʼlong	ʔ l ɔː ŋ
ʼlơ̆ng	ʔ l ə ŋ
ʼmaih	ʔ m a j h
ʼmi	ʔ m iː
ʼmê̆	ʔ m e ʔ
ʼmăng	ʔ m a ŋ
ʼngam	ʔ ŋ aː m
ʼnhao	ʔ ɲ aː w
ʼnhot	ʔ ɲ ɔː t
ʼnhĕt	ʔ ɲ ɛ t
